document	label
아이들의 모습을통해 풋풋한 예전모습이 떠올랐네요 재밌게잘봤습니다!!	1
머리속을 가르는 추억의 트레이스.	1
배우들의 연기는 맘에 드나..시나리오나 그밖의 모든 영화요소는 주목할게 없음	0
최악이다 진짜 시간만 날렸네 와 ㅡㅡ제정신으로 만든건가	0
이야기의 구성이 그다지 치밀하지도 극적이지도 않다	0
스토리가 너무 조잡하네요. 스릴러들이 대체적으로 그런 경우가 많다고 하더라도 이 영화는 전혀 공감도 몰입도 할 수 없는 내용이었어요.	0
중반부까지 음...하다가 후반부에서 대박 ㅋㅋ	1
내평생이렇게답답한영화는첨이다 ㅡㅡ아짜증나	0
노병은 죽지않는다	1
관람후 여운이 깊게 남는 영화였습니다.	1
애니메이션들이 넘쳐나는데... 생각보다 기억에 남는장면이없엇어요	0
꼭 보고 싶다... 반드시 본다..	1
재밋내	1
이번 주인공이 1이나 2주인공들만큼 춤을 잘추진 못해서 아쉽지만 그래도 역시 영화는 멋있게 잘나왔네요얼굴 아는 댄서들 찾는 재미도 있었고요이 영화에서 스토리 찾는 사람들은 이해가 안됨	1
그나마 나았던 노래마저 초딩들과 프폭도가 망쳐논 비운의 영화. 지긋지긋한 렛잇고를 불러대는 프폭도들 때문에 노이로제 걸린다. 아직도 이게 명작이라 생각하는 사람들은 정신연령이 유치원 졸업도 못한거임.	0
왜 영화관에서 봤을까..	0
생각했던거 이상으로 재미있게 봤네요...스릴도있고 반전도 있고 여느 한국영화 쓰레기들하고는 차원이 다르네요~제점수는요^~?100점만점에 95점드려요~~	1
캐릭터 귀엽고 존쿠삭 귀여운데 영화는 왜이래	0
액션씬은 다시 봐도 화끈. 스탤론의 절정기.	1
ㅇㅂ	1
괜찮았다.. 실사라도 괜찮았을듯..	1
6개민족,종교,사상에 의한 파란만장한 비운의 역사를 관조적,상징적,연민적 코미디로	1
사랑얘기나 찌질대는 드라마와는 차원이 다른 드라마	1
이건멍미	1
어느덧 향수가 된 데니스. 내 기억 속엔 아직도 개구쟁이 그 녀석.	0
왜그래...불우이웃이나 돕지...	0
이정도면 2.22에 맞춰짐?	0
평점이 너무 높은거 같애. 8점대가 적당	0
인간관계라는 미로속으로...알트만 감독님의 명복을 빕니다.	1
7 그럭저럭 볼만한영화입니다	1
ost도 휼륭하고 감동적이여서 정말 재밌게 봤네요.	1
아만다 사이프리드, 줄리안무어,리암 리슨, 맥스 티에리옷이 나온다... 그냥 10점이다 내용도 연기도 좋앙	1
영화는 감독의 자기만족이 아니라 관객의 만족을 위해 만들어 져야 하지 않나 시프요. 패기와 열정은 인정하나 만듦새가 너무 조악하다. 관객을 호구로 만든 영화	0
우리네 인생이 이러하다. 보이지 않는 뒷면이지만 함께한다는게 좋지 아니한가	1
도저히 재미가 느껴지지 않는 작품	0
역대 공포영화 중 단연 최고!	1
모든 호러무비의 안좋은 점만 빼다 박았네	0
화질 구리며 눈아픔..울딸이 공룡 좋아하니 그냥 버티며 봣네요	0
You'll Believe a Man Can Fly!	0
내 불면증을 해결해줌.	0
네이버 평점쓰기 게시판에 글을 다 남겨보네...평점올리려고...내 나이는 차마 못 밝힘...지창욱앓이...ㅜㅠ	1
초등학생들이 별 시답잖은 이유로 1점 테러질이네. 최소한 영화를 봤다면 1점은 줄 수가 없다. 너네 때문에 난 10점을 준다	1
오 엽문형님 니오신닼ㅋ	1
채플린의 걸작	1
여주인공 네명의 연기가 아주 좋습니다.	1
이런영화는 긴말필요없지 최고다	1
오~하나님! 앞으로 영화보고 화나게 않게 해주세요.	0
덮고 외면해도 어쩔 수 없는 사랑	1
킹콩과 공룡의 싸움이 가장 기억에 남음. 후반부로 갈수록 지루해짐. 그리고 런닝타임 186분 너무 길다. 그래도 심형래의 디 워보다는 우수함	0
짜가 피아니스트.. 에드리안브로디의 피아니스트인줄 알았네..콱	0
브라질의 현재를 보여주는.	1
내용은 뻔하지만 괜찮았다.	1
시사회로 봤는데...내 시간 돌리도요~~~~~~트레쉬!	0
진정한 으리란 무었인가를 느낄 수 있는 영화.	1
영상미와 음악이 예쁘고 좋은영화^^할리우드식내용전개는 글쎄...	1
만족해요	1
진심... 진짜 정말 쩐다.. 역시 두뇌천재.. 감독님 존경해요~ 완전.	1
